NetSales,OrderQuantity,UnitPrice,ProductCategory,ProductSubcategory,City,State
-246.0104,1,1308.9375,Bikes,Road Bikes,Bracknell,England
-105.5528,2,1466.01,Bikes,Road Bikes,Bracknell,England
-52.7764,1,1466.01,Bikes,Road Bikes,Bracknell,England
-246.0104,1,1308.9375,Bikes,Road Bikes,Bracknell,England
-112.8173,1,600.2625,Bikes,Road Bikes,Bracknell,England
-225.6346,2,600.2625,Bikes,Road Bikes,Bracknell,England
-451.2692,4,600.2625,Bikes,Road Bikes,Bracknell,England
-451.2692,4,600.2625,Bikes,Road Bikes,Bracknell,England
-33.8252,2,469.794,Bikes,Road Bikes,Bracknell,England
-84.563,5,469.794,Bikes,Road Bikes,Bracknell,England
-33.8252,2,469.794,Bikes,Road Bikes,Bracknell,England
-16.9126,1,469.794,Bikes,Road Bikes,Bracknell,England
-33.8252,2,469.794,Bikes,Road Bikes,Bracknell,England
-84.563,5,469.794,Bikes,Road Bikes,Bracknell,England
-50.7378,3,469.794,Bikes,Road Bikes,Bracknell,England
-33.8252,2,469.794,Bikes,Road Bikes,Bracknell,England
-33.8252,2,469.794,Bikes,Road Bikes,Bracknell,England
-50.7378,3,469.794,Bikes,Road Bikes,Bracknell,England
28.4008,4,20.1865,Accessories,Helmets,Bracknell,England
28.4008,4,20.1865,Accessories,Helmets,Bracknell,England
56.8016,8,20.1865,Accessories,Helmets,Bracknell,England
84.3636,6,44.994,Clothing,Tights,Bracknell,England
28.1212,2,44.994,Clothing,Tights,Bracknell,England
-6.9432,4,5.1865,Clothing,Caps,London,England
42.7386,6,22.794,Clothing,Gloves,Milton Keynes,England
28.4924,4,22.794,Clothing,Gloves,Milton Keynes,England
14.2462,2,22.794,Clothing,Gloves,Milton Keynes,England
24.848,5,14.1289,Clothing,Gloves,London,England
154.4682,3,198.036,Components,Wheels,London,England
-82.7476,4,183.9382,Components,Road Frames,London,England
45.5247,3,202.332,Components,Road Frames,London,England
30.3498,2,202.332,Components,Road Frames,London,England
45.5247,3,202.332,Components,Road Frames,London,England
17.5601,1,67.539,Components,Wheels,London,England
-28.9557,3,28.8404,Clothing,Jerseys,London,England
-9.6519,1,28.8404,Clothing,Jerseys,London,England
33.7462,2,53.994,Clothing,Bib-Shorts,London,England
22.4962,2,35.994,Clothing,Shorts,London,England
18.7405,5,11.994,Accessories,Pumps,London,England
-109.4703,3,324.4527,Components,Road Frames,London,England
-36.4901,1,324.4527,Components,Road Frames,London,England
-36.4901,1,324.4527,Components,Road Frames,London,England
-22.5224,1,1229.4589,Bikes,Mountain Bikes,Milton Keynes,England
-492.0208,2,1308.9375,Bikes,Road Bikes,London,England
-246.0104,1,1308.9375,Bikes,Road Bikes,London,England
-492.0208,2,1308.9375,Bikes,Road Bikes,London,England
-1230.052,5,1308.9375,Bikes,Road Bikes,London,England
-52.7764,1,1466.01,Bikes,Road Bikes,London,England
-158.3292,3,1466.01,Bikes,Road Bikes,London,England
-105.5528,2,1466.01,Bikes,Road Bikes,London,England
-492.0208,2,1308.9375,Bikes,Road Bikes,London,England
-451.2692,4,600.2625,Bikes,Road Bikes,London,England
-225.6346,2,600.2625,Bikes,Road Bikes,London,England
-564.0865,5,600.2625,Bikes,Road Bikes,London,England
-16.9126,1,469.794,Bikes,Road Bikes,London,England
-50.7378,3,469.794,Bikes,Road Bikes,London,England
-67.6504,4,469.794,Bikes,Road Bikes,London,England
-33.8252,2,469.794,Bikes,Road Bikes,London,England
-33.8252,2,469.794,Bikes,Road Bikes,London,England
-50.7378,3,469.794,Bikes,Road Bikes,London,England
-50.7378,3,469.794,Bikes,Road Bikes,London,England
-50.7378,3,469.794,Bikes,Road Bikes,London,England
-16.9126,1,469.794,Bikes,Road Bikes,London,England
-67.6504,4,469.794,Bikes,Road Bikes,London,England
-33.8252,2,469.794,Bikes,Road Bikes,London,England
28.4008,4,20.1865,Accessories,Helmets,London,England
14.2004,2,20.1865,Accessories,Helmets,London,England
28.4008,4,20.1865,Accessories,Helmets,London,England
42.1818,3,44.994,Clothing,Tights,London,England
56.2424,4,44.994,Clothing,Tights,London,England
-9.7342,1,858.9,Components,Road Frames,Frankfurt,Bayern
-9.7342,1,858.9,Components,Road Frames,Frankfurt,Bayern
-9.7342,1,858.9,Components,Road Frames,Frankfurt,Bayern
8.2118,1,31.584,Components,Saddles,Frankfurt,Bayern
-4.5862,2,202.332,Components,Road Frames,Frankfurt,Bayern
6.9482,1,26.724,Components,Handlebars,Frankfurt,Bayern
-40.7858,1,672.294,Bikes,Road Bikes,Frankfurt,Bayern
-3.0566,2,5.394,Clothing,Caps,Croix,Nord
-21.748608,12,5.2142,Clothing,Caps,Grevenbroich,Bayern
8.9835,5,4.77,Accessories,Cleaners,Croix,Nord
3.5934,2,4.77,Accessories,Cleaners,Grevenbroich,Bayern
6.3148,2,12.144,Components,Chains,London,England
43.053,3,38.1,Clothing,Vests,Croix,Nord
169.7355,18,34.925,Clothing,Vests,Grevenbroich,Bayern
57.404,4,38.1,Clothing,Vests,Croix,Nord
141.44625,15,34.925,Clothing,Vests,Grevenbroich,Bayern
33.228,2,63.9,Components,Brakes,Croix,Nord
49.842,3,63.9,Components,Brakes,London,England
28.5448,2,54.894,Components,Derailleurs,Croix,Nord
28.5448,2,54.894,Components,Derailleurs,London,England
22.1388,4,14.694,Clothing,Gloves,Grevenbroich,Bayern
5.5347,1,14.694,Clothing,Gloves,Croix,Nord
11.0694,2,14.694,Clothing,Gloves,Grevenbroich,Bayern
52.368976,11,14.2042,Clothing,Gloves,Grevenbroich,Bayern
244.08,9,72,Accessories,Bike Racks,Croix,Nord
285.12,16,66,Accessories,Bike Racks,Grevenbroich,Bayern
18.9524,1,72.894,Components,Bottom Brackets,London,England
126.3568,2,242.994,Components,Cranksets,London,England
12.6344,1,48.594,Components,Pedals,Paris,Seine (Paris)
0.6023,1,602.346,Components,Touring Frames,Grevenbroich,Bayern
1.8069,3,602.346,Components,Touring Frames,Croix,Nord
6.023,10,602.346,Components,Touring Frames,Grevenbroich,Bayern
1.2046,2,602.346,Components,Touring Frames,London,England
1.2046,2,602.346,Components,Touring Frames,Grevenbroich,Bayern
1.8069,3,602.346,Components,Touring Frames,Grevenbroich,Bayern
0.6023,1,602.346,Components,Touring Frames,Grevenbroich,Bayern
1.2046,2,602.346,Components,Touring Frames,Croix,Nord
1.8069,3,602.346,Components,Touring Frames,Grevenbroich,Bayern
0.6023,1,602.346,Components,Touring Frames,London,England
14.2849,1,54.942,Components,Handlebars,Grevenbroich,Bayern
32.8472,4,31.584,Components,Saddles,Grevenbroich,Bayern
16.4236,2,31.584,Components,Saddles,London,England
62.1385,5,32.994,Accessories,Hydration Packs,Croix,Nord
99.4216,8,32.994,Accessories,Hydration Packs,Grevenbroich,Bayern
0.4002,2,200.052,Components,Touring Frames,Grevenbroich,Bayern
0.2001,1,200.052,Components,Touring Frames,Grevenbroich,Bayern
0.4002,2,200.052,Components,Touring Frames,Grevenbroich,Bayern
14.38,2,27.654,Components,Handlebars,Grevenbroich,Bayern
-8.4983,1,29.994,Clothing,Jerseys,Croix,Nord
-185.587875,15,27.4945,Clothing,Jerseys,Grevenbroich,Bayern
-8.4983,1,29.994,Clothing,Jerseys,Croix,Nord
-76.4847,9,29.994,Clothing,Jerseys,Grevenbroich,Bayern
-76.4847,9,29.994,Clothing,Jerseys,Grevenbroich,Bayern
-12.1344,3,356.898,Components,Road Frames,Paris,Seine (Paris)
-4.0448,1,356.898,Components,Road Frames,London,England
9.686,1,37.254,Components,Pedals,Paris,Seine (Paris)
6.1058,1,23.484,Components,Saddles,Grevenbroich,Bayern
5.341632,12,1.3282,Accessories,Tires and Tubes,Grevenbroich,Bayern
8.1268,4,5.394,Clothing,Socks,Paris,Seine (Paris)
-123.832,2,1020.594,Bikes,Road Bikes,Paris,Seine (Paris)
-123.832,2,1020.594,Bikes,Road Bikes,Paris,Seine (Paris)
-78.6224,4,323.994,Bikes,Road Bikes,Paris,Seine (Paris)
-45.8915,5,32.394,Clothing,Jerseys,Croix,Nord
-130.612608,12,31.3142,Clothing,Jerseys,Grevenbroich,Bayern
-9.1783,1,32.394,Clothing,Jerseys,Croix,Nord
-64.2481,7,32.394,Clothing,Jerseys,Grevenbroich,Bayern
-55.0698,6,32.394,Clothing,Jerseys,Croix,Nord
-91.783,10,32.394,Clothing,Jerseys,Grevenbroich,Bayern
47.4462,6,20.994,Accessories,Helmets,Croix,Nord
31.6308,4,20.994,Accessories,Helmets,Grevenbroich,Bayern
39.5385,5,20.994,Accessories,Helmets,Croix,Nord
88.426208,13,20.2942,Accessories,Helmets,Grevenbroich,Bayern
15.8154,2,20.994,Accessories,Helmets,Croix,Nord
15.8154,2,20.994,Accessories,Helmets,Grevenbroich,Bayern
25.2688,2,48.594,Components,Pedals,Grevenbroich,Bayern
-205.9836,4,1430.442,Bikes,Touring Bikes,Grevenbroich,Bayern
-154.4877,3,1430.442,Bikes,Touring Bikes,London,England
-308.9754,6,1430.442,Bikes,Touring Bikes,Grevenbroich,Bayern
-1648.822656,13,1382.7606,Bikes,Touring Bikes,Grevenbroich,Bayern
-102.9918,2,1430.442,Bikes,Touring Bikes,London,England
-719.0355,1,953.628,Bikes,Touring Bikes,London,England
-2876.142,4,953.628,Bikes,Touring Bikes,Grevenbroich,Bayern
-2157.1065,3,953.628,Bikes,Touring Bikes,Croix,Nord
-2876.142,4,953.628,Bikes,Touring Bikes,Grevenbroich,Bayern
-2157.1065,3,953.628,Bikes,Touring Bikes,London,England
-52.4816,2,728.91,Bikes,Touring Bikes,Grevenbroich,Bayern
-52.4816,2,728.91,Bikes,Touring Bikes,Croix,Nord
-104.9632,4,728.91,Bikes,Touring Bikes,Grevenbroich,Bayern
-78.7224,3,728.91,Bikes,Touring Bikes,London,England
-52.4816,2,728.91,Bikes,Touring Bikes,Grevenbroich,Bayern
-78.7224,3,728.91,Bikes,Touring Bikes,London,England
-177.495925,1,334.0575,Bikes,Touring Bikes,Croix,Nord
-354.99185,2,334.0575,Bikes,Touring Bikes,Grevenbroich,Bayern
-354.99185,2,334.0575,Bikes,Touring Bikes,London,England
-177.495925,1,334.0575,Bikes,Touring Bikes,Croix,Nord
-887.479625,5,334.0575,Bikes,Touring Bikes,Grevenbroich,Bayern
-177.495925,1,334.0575,Bikes,Touring Bikes,London,England
-177.495925,1,334.0575,Bikes,Touring Bikes,Croix,Nord
-709.9837,4,334.0575,Bikes,Touring Bikes,London,England
-354.99185,2,334.0575,Bikes,Touring Bikes,Croix,Nord
-709.9837,4,334.0575,Bikes,Touring Bikes,Grevenbroich,Bayern
-177.495925,1,334.0575,Bikes,Touring Bikes,London,England
-1952.455175,11,334.0575,Bikes,Touring Bikes,Grevenbroich,Bayern
-532.487775,3,334.0575,Bikes,Touring Bikes,London,England
6.7662,6,2.994,Accessories,Bottles and Cages,Croix,Nord
11.8556,16,2.7445,Accessories,Bottles and Cages,Grevenbroich,Bayern
142.9996,2,818.7,Components,Mountain Frames,Milton Keynes,England
37.5242,2,72.162,Components,Handlebars,Milton Keynes,England
12.6344,1,48.594,Components,Pedals,Milton Keynes,England
26.178,2,149.874,Components,Mountain Frames,Milton Keynes,England
52.356,4,149.874,Components,Mountain Frames,Milton Keynes,England
55.3448,4,158.43,Components,Mountain Frames,Milton Keynes,England
27.6724,2,158.43,Components,Mountain Frames,Milton Keynes,England
41.5086,3,158.43,Components,Mountain Frames,Milton Keynes,England
27.7928,4,26.724,Components,Handlebars,Milton Keynes,England
6.3164,1,24.294,Components,Pedals,Milton Keynes,England
8.4614,2,16.272,Components,Saddles,Milton Keynes,England
57.2349,3,218.454,Components,Mountain Frames,Milton Keynes,England
38.1566,2,218.454,Components,Mountain Frames,Milton Keynes,England
9.6595,1,37.152,Components,Handlebars,Milton Keynes,England
19.372,2,37.254,Components,Pedals,Milton Keynes,England
12.2116,2,23.484,Components,Saddles,Milton Keynes,England
125.0127,1,1376.994,Bikes,Mountain Bikes,Milton Keynes,England
250.0254,2,1376.994,Bikes,Mountain Bikes,Milton Keynes,England
631.8725,5,1391.994,Bikes,Mountain Bikes,Milton Keynes,England
631.8725,5,1391.994,Bikes,Mountain Bikes,Milton Keynes,England
252.749,2,1391.994,Bikes,Mountain Bikes,Milton Keynes,England
83.8312,2,461.694,Bikes,Mountain Bikes,Milton Keynes,England
58.8286,2,323.994,Bikes,Mountain Bikes,Milton Keynes,England
29.4143,1,323.994,Bikes,Mountain Bikes,Milton Keynes,England
58.8286,2,323.994,Bikes,Mountain Bikes,Milton Keynes,England
88.2429,3,323.994,Bikes,Mountain Bikes,Milton Keynes,England
61.5522,2,338.994,Bikes,Mountain Bikes,Milton Keynes,England
30.7761,1,338.994,Bikes,Mountain Bikes,Milton Keynes,England
92.3283,3,338.994,Bikes,Mountain Bikes,Milton Keynes,England
61.5522,2,338.994,Bikes,Mountain Bikes,Milton Keynes,England
-88.9379,1,1466.01,Bikes,Road Bikes,Verrieres Le Buisson,Essonne
-177.495925,1,334.0575,Bikes,Touring Bikes,Berlin,Hessen
110.7239,7,41.994,Clothing,Shorts,Milton Keynes,England
31.6354,2,41.994,Clothing,Shorts,Milton Keynes,England
176.689075,17,38.4945,Clothing,Shorts,Milton Keynes,England
-19.6556,1,323.994,Bikes,Road Bikes,Braunschweig,Nordrhein-Westfalen
-4.5849,3,5.394,Clothing,Caps,Orly,Val de Marne
9.4722,3,12.144,Components,Chains,Pantin,Seine Saint Denis
3.1574,1,12.144,Components,Chains,London,England
43.053,3,38.1,Clothing,Vests,Orly,Val de Marne
49.842,3,63.9,Components,Brakes,Pantin,Seine Saint Denis
99.684,6,63.9,Components,Brakes,London,England
42.8172,3,54.894,Components,Derailleurs,Pantin,Seine Saint Denis
28.5448,2,54.894,Components,Derailleurs,London,England
5.5347,1,14.694,Clothing,Gloves,Pantin,Seine Saint Denis
81.36,3,72,Accessories,Bike Racks,Orly,Val de Marne
18.9524,1,72.894,Components,Bottom Brackets,Pantin,Seine Saint Denis
16.4236,2,31.584,Components,Saddles,Pantin,Seine Saint Denis
33.6896,4,32.394,Components,Bottom Brackets,Pantin,Seine Saint Denis
27.3764,1,105.294,Components,Cranksets,Pantin,Seine Saint Denis
-4.0448,1,356.898,Components,Road Frames,Leipzig,Nordrhein-Westfalen
125.0127,1,1376.994,Bikes,Mountain Bikes,Orly,Val de Marne
33.228,2,63.9,Components,Brakes,Pantin,Seine Saint Denis
-40.7858,1,672.294,Bikes,Road Bikes,Leipzig,Nordrhein-Westfalen
-40.7858,1,672.294,Bikes,Road Bikes,Leipzig,Nordrhein-Westfalen
-45.8915,5,32.394,Clothing,Jerseys,Orly,Val de Marne
-51.4959,1,1430.442,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-205.9836,4,1430.442,Bikes,Touring Bikes,London,England
-102.9918,2,1430.442,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-51.4959,1,1430.442,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-51.4959,1,1430.442,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-205.9836,4,1430.442,Bikes,Touring Bikes,London,England
-51.4959,1,1430.442,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-205.9836,4,1430.442,Bikes,Touring Bikes,London,England
-102.9918,2,1430.442,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-51.4959,1,1430.442,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-102.9918,2,1430.442,Bikes,Touring Bikes,London,England
-26.2408,1,728.91,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-52.4816,2,728.91,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-131.204,5,728.91,Bikes,Touring Bikes,London,England
-26.2408,1,728.91,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-26.2408,1,728.91,Bikes,Touring Bikes,London,England
-48.1044,3,445.41,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-48.1044,3,445.41,Bikes,Touring Bikes,London,England
-16.0348,1,445.41,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-48.1044,3,445.41,Bikes,Touring Bikes,London,England
-16.0348,1,445.41,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-16.0348,1,445.41,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-16.0348,1,445.41,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-16.0348,1,445.41,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-16.0348,1,445.41,Bikes,Touring Bikes,London,England
-32.0696,2,445.41,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-16.0348,1,445.41,Bikes,Touring Bikes,Pantin,Seine Saint Denis
-32.0696,2,445.41,Bikes,Touring Bikes,London,England
126.5416,8,41.994,Clothing,Shorts,Orly,Val de Marne
31.6354,2,41.994,Clothing,Shorts,Orly,Val de Marne
-12.2264,8,5.394,Clothing,Caps,Woolston,England
7.1868,4,4.77,Accessories,Cleaners,Woolston,England
6.3148,2,12.144,Components,Chains,Berlin,Saarland
9.4722,3,12.144,Components,Chains,London,England
114.808,8,38.1,Clothing,Vests,Woolston,England
43.053,3,38.1,Clothing,Vests,Bobigny,Seine Saint Denis
114.808,8,38.1,Clothing,Vests,Woolston,England
49.842,3,63.9,Components,Brakes,Berlin,Saarland
83.07,5,63.9,Components,Brakes,London,England
14.2724,1,54.894,Components,Derailleurs,Berlin,Saarland
99.9068,7,54.894,Components,Derailleurs,London,England
16.6041,3,14.694,Clothing,Gloves,Woolston,England
22.1388,4,14.694,Clothing,Gloves,Woolston,England
16.6041,3,14.694,Clothing,Gloves,Woolston,England
54.24,2,72,Accessories,Bike Racks,Woolston,England
37.9048,2,72.894,Components,Bottom Brackets,Berlin,Saarland
56.8572,3,72.894,Components,Bottom Brackets,London,England
63.1784,1,242.994,Components,Cranksets,Berlin,Saarland
252.7136,4,242.994,Components,Cranksets,London,England
353.595,5,809.76,Components,Mountain Frames,London,England
141.438,2,809.76,Components,Mountain Frames,London,England
428.9988,6,818.7,Components,Mountain Frames,London,England
142.9996,2,818.7,Components,Mountain Frames,London,England
113.7096,9,48.594,Components,Pedals,London,England
24.6354,3,31.584,Components,Saddles,London,England
1.2046,2,602.346,Components,Touring Frames,Berlin,Saarland
1.8069,3,602.346,Components,Touring Frames,Woolston,England
1.2046,2,602.346,Components,Touring Frames,Berlin,Saarland
2.4092,4,602.346,Components,Touring Frames,Woolston,England
4.2161,7,602.346,Components,Touring Frames,Woolston,England
24.6354,3,31.584,Components,Saddles,Berlin,Saarland
41.059,5,31.584,Components,Saddles,Woolston,England
124.277,10,32.994,Accessories,Hydration Packs,Woolston,England
42.112,5,32.394,Components,Bottom Brackets,Berlin,Saarland
42.112,5,32.394,Components,Bottom Brackets,London,England
109.5056,4,105.294,Components,Cranksets,Berlin,Saarland
54.7528,2,105.294,Components,Cranksets,London,England
52.356,4,149.874,Components,Mountain Frames,London,England
39.267,3,149.874,Components,Mountain Frames,London,England
39.267,3,149.874,Components,Mountain Frames,London,England
69.181,5,158.43,Components,Mountain Frames,London,England
55.3448,4,158.43,Components,Mountain Frames,London,England
13.8362,1,158.43,Components,Mountain Frames,London,England
83.0172,6,158.43,Components,Mountain Frames,London,England
27.7928,4,26.724,Components,Handlebars,London,England
18.9492,3,24.294,Components,Pedals,London,England
16.9228,4,16.272,Components,Saddles,London,England
0.4002,2,200.052,Components,Touring Frames,Woolston,England
0.8004,4,200.052,Components,Touring Frames,Woolston,England
1.4007,7,200.052,Components,Touring Frames,Woolston,England
1.2006,6,200.052,Components,Touring Frames,Woolston,England
0.6003,3,200.052,Components,Touring Frames,Woolston,England
-16.9966,2,29.994,Clothing,Jerseys,Woolston,England
-67.9864,8,29.994,Clothing,Jerseys,Woolston,England
-50.9898,6,29.994,Clothing,Jerseys,Woolston,England
98.449728,13,211.1722,Components,Mountain Frames,London,England
76.3132,4,218.454,Components,Mountain Frames,London,England
48.2975,5,37.152,Components,Handlebars,London,England
48.43,5,37.254,Components,Pedals,London,England
30.529,5,23.484,Components,Saddles,London,England
875.0889,7,1376.994,Bikes,Mountain Bikes,London,England
250.0254,2,1376.994,Bikes,Mountain Bikes,London,England
375.0381,3,1376.994,Bikes,Mountain Bikes,London,England
758.247,6,1391.994,Bikes,Mountain Bikes,London,England
631.8725,5,1391.994,Bikes,Mountain Bikes,London,England
